spid,spid_legacy,chid,stkc,stkc_unit,tested_conc,tested_conc_unit,MTT
TP0000883G12,BF00128352,23900,100,mM,1,uM,92.1
TP0000886H23,BF00128352,23900,100,mM,1,uM,92.1
TP0000883A09,BF00128353,20182,100,mM,10,uM,92.4
TP0000886G18,BF00128353,20182,100,mM,10,uM,92.4
TP0000882E09,BF00128354,32424,100,mM,100,uM,100.7
TP0000886K17,BF00128354,32424,100,mM,100,uM,100.7
TP0000882G11,BF00128355,34973,100,mM,100,uM,95.8
TP0000886C22,BF00128355,34973,100,mM,100,uM,95.8
TP0000883D11,BF00128356,32655,100,mM,10,uM,95.1
TP0000886M22,BF00128356,32655,100,mM,10,uM,95.1
TP0000885B10,BF00128357,37523,100,mM,100,uM,90.8
TP0000887C20,BF00128357,37523,100,mM,100,uM,90.8
TP0000882B11,BF00128358,38666,100,mM,1,uM,103.1
TP0000886E21,BF00128358,38666,100,mM,1,uM,103.1
TP0000884B08,BF00128359,34742,100,mM,1,uM,92.5
TP0000886N15,BF00128359,34742,100,mM,1,uM,92.5
TP0000883C07,BF00131805,34586,100,mM,1,uM,102.3
TP0000886K14,BF00131805,34586,100,mM,1,uM,102.3
TP0000882F07,BF00131806,34773,100,mM,100,uM,146.6
TP0000886M13,BF00131806,34773,100,mM,100,uM,146.6
TP0000882B07,BF00131807,34456,100,mM,100,uM,92.2
TP0000886E13,BF00131807,34456,100,mM,100,uM,92.2
TP0000884H10,BF00131808,35957,100,mM,100,uM,96.5
TP0000886N20,BF00131808,35957,100,mM,100,uM,96.5
TP0000883D04,BF10128127,32498,100,mM,1,uM,89.5
TP0000886M08,BF10128127,32498,100,mM,1,uM,89.5
TP0000884E06,BF10128135,20154,100,mM,1,uM,93.4
TP0000886H12,BF10128135,20154,100,mM,1,uM,93.4
TP0000884A04,BF10128140,32493,100,mM,10,uM,100
TP0000886G08,BF10128140,32493,100,mM,10,uM,100
TP0000884G01,BF10128280,24238,100,mM,1,uM,93.3
TP0000886G19,BF10128280,24238,100,mM,1,uM,93.3
TP0000883E12,BF10128287,35180,100,mM,1,uM,93.1
TP0000886D23,BF10128287,35180,100,mM,1,uM,93.1
TP0000884C03,BF10128288,31864,100,mM,100,uM,99.6
TP0000886I21,BF10128288,31864,100,mM,100,uM,99.6
TP0000883H05,BF10128290,32520,100,mM,1,uM,91
TP0000886D14,BF10128290,32520,100,mM,1,uM,91
TP0000884A12,BF10128353,20182,100,mM,10,uM,94.3
TP0000886L23,BF10128353,20182,100,mM,10,uM,94.3
TP0000883F04,BF20128127,32498,100,mM,1,uM,97.8
TP0000886M09,BF20128127,32498,100,mM,1,uM,97.8
TP0000884E10,BF20128135,20154,100,mM,1,uM,87.9
TP0000886H20,BF20128135,20154,100,mM,1,uM,87.9
TP0000884B12,BF20128140,32493,100,mM,10,uM,97.2
TP0000886N23,BF20128140,32493,100,mM,10,uM,97.2
TP0000884D06,BF20128280,24238,100,mM,1,uM,95.6
TP0000886F12,BF20128280,24238,100,mM,1,uM,95.6
TP0000885A09,BF20128287,35180,100,mM,1,uM,93.9
TP0000887C17,BF20128287,35180,100,mM,1,uM,93.9
TP0000885B01,BF20128288,31864,100,mM,100,uM,99.6
TP0000887C02,BF20128288,31864,100,mM,100,uM,99.6
TP0000884C07,BF20128290,32520,100,mM,1,uM,90.6
TP0000886C21,BF20128290,32520,100,mM,1,uM,90.6
TP0000887C09,BF20128353,20182,100,mM,10,uM,75.6
TP0000395G11,TX000097,47528,20,mM,20,uM,95
TP0000422G11,TX000097,47528,20,mM,20,uM,95
TP0000424G11,TX000097,47528,20,mM,20,uM,95
TP0000425G11,TX000097,47528,20,mM,20,uM,95
TP0000457G05,TX000097,47528,20,mM,20,uM,95
TP0000505A04,TX000097,47528,20,mM,20,uM,95
TP0000818E09,TX000097,47528,20,mM,20,uM,95
TP0000900E07,TX000097,47528,20,mM,20,uM,95
TP0000950C11,TX000097,47528,20,mM,20,uM,95
TP0000969C01,TX000097,47528,20,mM,20,uM,95
TP0000981C01,TX000097,47528,20,mM,20,uM,95
TP0001058E04,TX000097,47528,20,mM,20,uM,95
TP0001067E04,TX000097,47528,20,mM,20,uM,95
TP0001293F02,TX000097,47528,20,mM,20,uM,95
TP0000244A03,TX000777,32551,20,mM,0.2,uM,92.8
TP0000263A03,TX000777,32551,20,mM,0.2,uM,92.8
TP0000816C12,TX000777,32551,20,mM,0.2,uM,92.8
TP0000884H02,TX000777,32551,20,mM,0.2,uM,92.8
TP0000886N04,TX000777,32551,20,mM,0.2,uM,92.8
TP0000953E06,TX000777,32551,20,mM,0.2,uM,92.8
TP0000967E06,TX000777,32551,20,mM,0.2,uM,92.8
TP0000979E06,TX000777,32551,20,mM,0.2,uM,92.8
TP0001041O02,TX000777,32551,20,mM,0.2,uM,92.8
TP0001077F08,TX000777,32551,20,mM,0.2,uM,92.8
TP0001093F08,TX000777,32551,20,mM,0.2,uM,92.8
TP0001194N16,TX000777,32551,20,mM,0.2,uM,92.8
TP0000238H01,TX000789,34928,20,mM,20,uM,86.3
TP0000253H01,TX000789,34928,20,mM,20,uM,86.3
TP0000818F05,TX000789,34928,20,mM,20,uM,86.3
TP0000882F09,TX000789,34928,20,mM,20,uM,86.3
TP0000886M17,TX000789,34928,20,mM,20,uM,86.3
TP0000953E05,TX000789,34928,20,mM,20,uM,86.3
TP0000967E05,TX000789,34928,20,mM,20,uM,86.3
TP0000979E05,TX000789,34928,20,mM,20,uM,86.3
TP0001043J09,TX000789,34928,20,mM,20,uM,86.3
TP0001194K05,TX000789,34928,20,mM,20,uM,86.3
TP0001111F09,TX000991,32513,100,mM,100,uM,98.5
TP0001111B07,TX001026,35288,100,mM,100,uM,96.5
TP0001110H11,TX001028,41237,100,mM,100,uM,90.6
TP0001110E08,TX001030,35175,100,mM,100,uM,93.1
TP0001109F05,TX001034,42052,20,mM,20,uM,97.3
TP0000880D03,TX001038,40371,19,mM,20,uM,93.5
TP0000955G11,TX001038,40371,19,mM,20,uM,93.5
TP0000969G11,TX001038,40371,19,mM,20,uM,93.5
TP0000981G11,TX001038,40371,20,mM,20,uM,93.5
TP0001055E09,TX001038,40371,20,mM,20,uM,93.5
TP0001064E09,TX001038,40371,20,mM,20,uM,93.5
TP0001122D01,TX001038,40371,20,mM,20,uM,93.5
TP0001207B07,TX001038,40371,20,mM,20,uM,93.5
TP0001114A04,TX001040,40776,106,mM,105.96,uM,95
TP0001112E02,TX001052,37551,100,mM,100,uM,103.5
TP0001112B09,TX001060,41550,100,mM,100,uM,99
TP0001114H03,TX001064,35423,100,mM,100,uM,100.2
TP0001113H07,TX001068,41413,100,mM,100,uM,99.3
TP0000133B11,TX001069,22056,20,mM,20,uM,94.6
TP0000267F08,TX001069,22056,20,mM,20,uM,94.6
TP0000288F08,TX001069,22056,20,mM,20,uM,94.6
TP0000315A10,TX001069,22056,20,mM,20,uM,94.6
TP0000370F08,TX001069,22056,20,mM,20,uM,94.6
TP0000372F02,TX001069,22056,20,mM,20,uM,94.6
TP0000818G04,TX001069,22056,20,mM,20,uM,94.6
TP0000905H08,TX001069,22056,20,mM,20,uM,94.6
TP0000961E03,TX001069,22056,20,mM,20,uM,94.6
TP0000962E12,TX001069,22056,20,mM,20,uM,94.6
TP0000974E12,TX001069,22056,20,mM,20,uM,94.6
TP0001056G09,TX001069,22056,20,mM,20,uM,94.6
TP0001065G09,TX001069,22056,20,mM,20,uM,94.6
TP0001120F09,TX001069,22056,20,mM,20,uM,94.6
TP0001207N10,TX001069,22056,20,mM,20,uM,94.6
TP0001114C06,TX001072,25130,100,mM,100,uM,99.3
TP0001110A06,TX001074,41210,100,mM,100,uM,100
TP0001077H10,TX001083,34769,20,mM,20,uM,89.9
TP0001093H10,TX001083,34769,20,mM,20,uM,89.9
TP0001219H10,TX001083,34769,20,mM,20,uM,89.9
TP0001111G12,TX001086,20151,100,mM,100,uM,108.2
TP0000865F07,TX001087,21316,20,mM,2,uM,87.4
TP0001077A06,TX001087,21316,20,mM,2,uM,87.4
TP0001093A06,TX001087,21316,20,mM,2,uM,87.4
TP0001219E10,TX001087,21316,20,mM,2,uM,87.4
TP0001109H02,TX001106,41978,100,mM,100,uM,81.3
TP0001114E10,TX001112,29304,20,mM,20,uM,106.2
